palavra,fonetica-divisao_silabica
con·sis·tir ,kõ.siʃ.tʃˈiɾ 
con·sis·tó·ri·o ,kõ.siʃ.tˈɔ.ɾjʊ 
con·so·a·da ,kõ.so.ˈa.dɐ 
con·so·an·te ,kõ.so.ˈɐ̃.tʃɪ 
con·so·an·te ,kõ.so.ˈɐ̃.tʃɪ 
con·so·an·te ,kõ.so.ˈɐ̃.tʃɪ 
con·so·an·te ,kõ.so.ˈɐ̃.tʃɪ 
con·so·ar ,kõ.so.ˈaɾ 
con·so·ci·ar ,kõ.so.si.ˈaɾ 
con·só·ci·o ,kõ.sˈɔ.sjʊ 
con·so·la ,kõ.sˈɔ.lɐ 
con·so·la·ção ,kõ.so.la.sˈɐ̃w 
con·so·la·da·men·te ,kõ.so.la.dã.mˈẽ.tʃɪ 
con·so·la·do ,kõ.so.lˈa.dʊ 
con·so·la·dor ,kõ.so.la.dˈoɾ 
con·so·la·dor ,kõ.so.la.dˈoɾ
con·so·la·do·ra ,kõ.so.la.dˈo.ɾɐ 
con·so·la·do·ra·men·te  ,kõ.so.la.do.ɾã.mˈẽ.tʃɪ 
con·so·lar ,kõ.so.lˈaɾ 
con·so·li·da·ção ,kõ.so.li.da.sˈɐ̃w 
con·so·li·da·do ,kõ.so.li.dˈa.dʊ 
con·so·li·da·do ,kõ.so.li.dˈa.dʊ 
con·so·li·dan·te ,kõ.so.li.dˈɐ̃.tʃɪ 
con·so·li·dar ,kõ.so.li.dˈaɾ 
con·so·lo ,kõ.sˈo.lʊ 
con·so·nân·ci·a ,kõ.sõ.nˈɐ̃.sjɐ 
con·so·nan·te ,kõ.sõ.nˈɐ̃.tʃɪ 
con·sor·ci·ar ,kõ.soh.si.ˈaɾ 
con·sór·ci·o ,kõ.sˈɔh.sjʊ 
con·sor·te ,kõ.sˈɔh.tʃɪ 
con·sor·te ,kõ.sˈɔh.tʃɪ 
cons·pi·cu·a·men·te  ,kõʃ.pi.kwã.mˈẽ.tʃɪ 
cons·pí·cu·o ,kõʃ.pˈi.kwʊ 
cons·pi·ra·ção ,kõʃ.pi.ɾa.sˈɐ̃w 
cons·pi·ra·dor ,kõʃ.pi.ɾa.dˈoɾ 
cons·pi·ra·dor ,kõʃ.pi.ɾa.dˈoɾ
cons·pi·ra·do·ra ,kõʃ.pi.ɾa.dˈo.ɾɐ 
cons·pi·rar ,kõʃ.pi.ɾˈaɾ 
cons·pi·ra·ti·vo ,kõʃ.pi.ɾa.tʃˈi.vʊ 
cons·pi·ra·tó·ri·o ,kõʃ.pi.ɾa.tˈɔ.ɾjʊ 
cons·pur·ca·ção ,kõʃ.pʊh.ka.sˈɐ̃w 
cons·pur·car ,kõʃ.pʊh.kˈaɾ 
cons·tân·ci·a ,kõʃ.tˈɐ̃.sjɐ 
cons·tan·te ,kõʃ.tˈɐ̃.tʃɪ 
cons·tan·te ,kõʃ.tˈɐ̃.tʃɪ 
cons·tan·te·men·te ,kõʃ.tɐ̃.tẽ.mˈẽ.tʃɪ 
cons·tan·ti·ni·a·no ,kõʃ.tɐ̃.tʃĩ.ni.ˈɐ̃.nʊ 
cons·tar ,kõʃ.tˈaɾ 
cons·ta·ta·ção ,kõʃ.ta.ta.sˈɐ̃w 
cons·ta·tar ,kõʃ.ta.tˈaɾ 
cons·ta·tá·vel ,kõʃ.ta.tˈa.vew 
cons·te·la·ção ,kõʃ.te.la.sˈɐ̃w 
cons·te·la·do ,kõʃ.te.lˈa.dʊ 
cons·te·lar ,kõʃ.te.lˈaɾ 
cons·ter·na·ção ,kõʃ.teɦ.na.sˈɐ̃w 
cons·ter·na·do ,kõʃ.teɦ.nˈa.dʊ
cons·ter·na·dor ,kõʃ.teɦ.na.dˈoɾ 
cons·ter·nar ,kõʃ.teɦ.nˈaɾ 
cons·ti·pa·ção ,kõʃ.tʃi.pa.sˈɐ̃w 
cons·ti·pa·do ,kõʃ.tʃi.pˈa.dʊ 
cons·ti·par ,kõʃ.tʃi.pˈaɾ 
cons·ti·tu·ci·o·nal ,kõʃ.tʃi.tu.sjõ.nˈaw 
cons·ti·tu·ci·o·nal ,kõʃ.tʃi.tu.sjõ.nˈaw 
cons·ti·tu·ci·o·nal ,kõʃ.tʃi.tu.sjõ.nˈaw 
cons·ti·tu·ci·o·na·li·da·de ,kõʃ.tʃi.tu.sjõ.na.li.dˈa.dʒɪ 
cons·ti·tu·ci·o·na·lis·mo ,kõʃ.tʃi.tu.sjõ.na.lˈiʒ.mʊ 
cons·ti·tu·ci·o·na·lis·ta ,kõʃ.tʃi.tu.sjõ.na.lˈiʃ.tɐ 
cons·ti·tu·ci·o·na·lis·ta ,kõʃ.tʃi.tu.sjõ.na.lˈiʃ.tɐ 
cons·ti·tu·ci·o·na·lis·ta ,kõʃ.tʃi.tu.sjõ.na.lˈiʃ.tɐ 
cons·ti·tu·ci·o·na·li·zar ,kõʃ.tʃi.tu.sjõ.na.li.zˈaɾ 
cons·ti·tu·ci·o·nal·men·te ,kõʃ.tʃi.tu.sjõ.naw.mˈẽ.tʃɪ 
cons·ti·tu·i·ção ,kõʃ.tʃi.twi.sˈɐ̃w 
cons·ti·tu·í·do ,kõʃ.tʃi.twˈi.dʊ 
cons·ti·tu·in·te ,kõʃ.tʃi.twˈĩ.tʃɪ 
cons·ti·tu·in·te ,kõʃ.tʃi.twˈĩ.tʃɪ 
cons·ti·tu·in·te ,kõʃ.tʃi.twˈĩ.tʃɪ
cons·ti·tu·ir ,kõʃ.tʃi.twˈiɾ 
cons·ti·tu·ti·vo ,kõʃ.tʃi.tu.tʃˈi.vʊ 
cons·ti·tu·ti·vo ,kõʃ.tʃi.tu.tʃˈi.vʊ 
cons·tran·ge·dor ,kõʃ.tɾɐ̃.ʒe.dˈoɾ 
cons·tran·ger ,kõʃ.tɾɐ̃.ʒˈeɾ 
cons·tran·gi·da·men·te  ,kõʃ.tɾɐ̃.ʒi.dã.mˈẽ.tʃɪ 
cons·tran·gi·do ,kõʃ.tɾɐ̃.ʒˈi.dʊ 
cons·tran·gi·men·to ,kõʃ.tɾɐ̃.ʒĩ.mˈẽ.tʊ 
cons·tri·ção ,kõʃ.tɾi.sˈɐ̃w 
cons·tru·ção ,kõʃ.tɾu.sˈɐ̃w 
cons·truc·to ,kõʃ.tɾˈu.kə.tʊ 
cons·tru·í·do ,kõʃ.tɾwˈi.dʊ 
cons·tru·ir ,kõʃ.tɾwˈiɾ 
cons·tru·ti·va·men·te  ,kõʃ.tɾu.tʃi.vã.mˈẽ.tʃɪ 
cons·tru·ti·vis·mo ,kõʃ.tɾu.tʃi.vˈiʒ.mʊ 
cons·tru·ti·vis·ta ,kõʃ.tɾu.tʃi.vˈiʃ.tɐ 
cons·tru·ti·vis·ta ,kõʃ.tɾu.tʃi.vˈiʃ.tɐ 
cons·tru·ti·vis·ta ,kõʃ.tɾu.tʃi.vˈiʃ.tɐ 
cons·tru·ti·vo ,kõʃ.tɾu.tʃˈi.vʊ 
cons·tru·tor ,kõʃ.tɾu.tˈoɾ
cons·tru·tor ,kõʃ.tɾu.tˈoɾ 
cons·tru·to·ra ,kõʃ.tɾu.tˈo.ɾɐ 
cons·tru·tu·ra ,kõʃ.tɾu.tˈu.ɾɐ 
con·subs·tan·ci·a·ção ,kõ.sʊbʃ.tɐ̃.si.a.sˈɐ̃w 
con·subs·tan·ci·a·do ,kõ.sʊbʃ.tɐ̃.si.ˈa.dʊ 
con·subs·tan·ci·al ,kõ.sʊbʃ.tɐ̃.si.ˈaw 
con·subs·tan·ci·al·men·te  ,kõ.sʊbʃ.tɐ̃.si.aw.mˈẽ.tʃɪ 
con·subs·tan·ci·ar ,kõ.sʊbʃ.tɐ̃.si.ˈaɾ 
con·su·e·tu·di·na·ri·a·men·te  ,kõ.su.ɛ.tu.dʒĩ.na.ɾi.ã.mˈẽ.tʃɪ 
con·su·e·tu·di·ná·ri·o ,kõ.su.ɛ.tu.dʒĩ.nˈa.ɾjʊ 
côn·sul ,kˈõ.sʊw 
côn·sul-ge·ral ,kˌõ.sʊw.ʒe.ɾˈaw 
con·su·la·do ,kõ.su.lˈa.dʊ 
con·su·lar ,kõ.su.lˈaɾ 
con·su·len·te ,kõ.su.lˈẽ.tʃɪ 
con·su·len·te ,kõ.su.lˈẽ.tʃɪ 
con·su·len·te ,kõ.su.lˈẽ.tʃɪ 
con·sul·ta ,kõ.sˈuw.tɐ 
con·sul·ta·do·ri·a ,kõ.sʊw.ta.do.ɾˈi.ɐ 
con·sul·tar ,kõ.sʊw.tˈaɾ
con·sul·tá·vel ,kõ.sʊw.tˈa.vew 
con·sul·ti·vo ,kõ.sʊw.tʃˈi.vʊ 
con·sul·to ,kõ.sˈuw.tʊ 
con·sul·tor ,kõ.sʊw.tˈoɾ 
con·sul·to·ra ,kõ.sʊw.tˈo.ɾɐ 
con·sul·to·ri·a ,kõ.sʊw.to.ɾˈi.ɐ 
con·sul·tó·ri·o ,kõ.sʊw.tˈɔ.ɾjʊ 
con·su·ma·ção ,kõ.sũ.ma.sˈɐ̃w 
con·su·ma·da·men·te  ,kõ.sũ.ma.dã.mˈẽ.tʃɪ 
con·su·ma·do ,kõ.sũ.mˈa.dʊ 
con·su·mar ,kõ.sũ.mˈaɾ 
con·su·me·ris·mo ,kõ.sũ.me.ɾˈiʒ.mʊ 
con·su·mi·do ,kõ.sũ.mˈi.dʊ 
con·su·mi·dor ,kõ.sũ.mi.dˈoɾ 
con·su·mi·dor ,kõ.sũ.mi.dˈoɾ 
con·su·mi·do·ra ,kõ.sũ.mi.dˈo.ɾɐ 
con·su·mir ,kõ.sũ.mˈiɾ 
con·su·mis·mo ,kõ.sũ.mˈiʒ.mʊ 
con·su·mis·ta ,kõ.sũ.mˈiʃ.tɐ 
con·su·mis·ta ,kõ.sũ.mˈiʃ.tɐ
con·su·mis·ta ,kõ.sũ.mˈiʃ.tɐ 
con·su·mí·vel ,kõ.sũ.mˈi.vew 
con·su·mí·vel ,kõ.sũ.mˈi.vew 
con·su·mo ,kõ.sˈũ.mʊ 
con·sump·ção ,kõ.sũm.pə.sˈɐ̃w 
con·ta ,kˈõ.tɐ 
con·ta-cor·ren·te ,kˌõ.tɐ.ko.ɦˈẽ.tʃɪ 
con·ta-go·tas ,kˌõ.tɐ.gˈo.tɐʃ 
con·ta-qui·ló·me·tros ,kˌõ.tɐ.ki.lˈɔ̃.me.tɾʊʃ 
con·ta-ro·ta·ções ,kˌõ.tɐ.ɦo.ta.sˈõjʃ 
con·ta·bi·li·da·de ,kõ.ta.bi.li.dˈa.dʒɪ 
con·ta·bi·lis·ta ,kõ.ta.bi.lˈiʃ.tɐ 
con·ta·bi·lis·ta ,kõ.ta.bi.lˈiʃ.tɐ 
con·ta·bi·lís·ti·co ,kõ.ta.bi.lˈiʃ.tʃi.kʊ 
con·ta·bi·li·za·ção ,kõ.ta.bi.li.za.sˈɐ̃w 
con·ta·bi·li·zar ,kõ.ta.bi.li.zˈaɾ 
con·ta·bi·li·zá·vel ,kõ.ta.bi.li.zˈa.vew 
con·tac·tar ,kõ.ta.kə.tˈaɾ 
con·tac·tá·vel ,kõ.ta.kə.tˈa.vew 
con·tac·to ,kõ.tˈa.kə.tʊ
con·ta·do ,kõ.tˈa.dʊ 
con·ta·dor ,kõ.ta.dˈoɾ 
con·ta·dor ,kõ.ta.dˈoɾ 
con·ta·do·ra ,kõ.ta.dˈo.ɾɐ 
con·ta·gem ,kõ.tˈa.ʒẽj 
con·ta·gi·an·te ,kõ.ta.ʒi.ˈɐ̃.tʃɪ 
con·ta·gi·ar ,kõ.ta.ʒi.ˈaɾ 
con·tá·gi·o ,kõ.tˈa.ʒjʊ 
con·ta·gi·o·sa·men·te  ,kõ.ta.ʒjɔ.zã.mˈẽ.tʃɪ 
con·ta·gi·o·so ,kõ.ta.ʒjˈo.zʊ 
con·ta·mi·na·ção ,kõ.tã.mĩ.na.sˈɐ̃w 
con·ta·mi·na·do ,kõ.tã.mĩ.nˈa.dʊ 
con·ta·mi·na·dor ,kõ.tã.mĩ.na.dˈoɾ 
con·ta·mi·na·dor ,kõ.tã.mĩ.na.dˈoɾ 
con·ta·mi·nar ,kõ.tã.mĩ.nˈaɾ 
con·tan·to ,kõ.tˈɐ̃.tʊ 
con·tar ,kõ.tˈaɾ 
con·ta·ri·a ,kõ.ta.ɾˈi.ɐ 
con·ta·to ,kõ.tˈa.tʊ 
con·tá·vel ,kõ.tˈa.vew
con·tei·ra ,kõ.tˈej.ɾɐ 
con·tei·rar ,kõ.tej.ɾˈaɾ 
con·tem·pla·ção ,kõ.tẽ.pla.sˈɐ̃w 
con·tem·pla·dor ,kõ.tẽ.pla.dˈoɾ 
con·tem·pla·dor ,kõ.tẽ.pla.dˈoɾ 
con·tem·plar ,kõ.tẽ.plˈaɾ 
con·tem·pla·ti·va ,kõ.tẽ.pla.tʃˈi.vɐ 
con·tem·pla·ti·va·men·te  ,kõ.tẽ.pla.tʃi.vã.mˈẽ.tʃɪ 
con·tem·pla·ti·vo ,kõ.tẽ.pla.tʃˈi.vʊ 
con·tem·pla·ti·vo ,kõ.tẽ.pla.tʃˈi.vʊ 
con·tem·po·râ·ne·a ,kõ.tẽ.po.ɾˈɐ̃.njɐ 
con·tem·po·ra·ne·a·men·te ,kõ.tẽ.po.ɾã.ne.ã.mˈẽ.tʃɪ 
con·tem·po·ra·nei·da·de ,kõ.tẽ.po.ɾã.nej.dˈa.dʒɪ 
con·tem·po·râ·ne·o ,kõ.tẽ.po.ɾˈɐ̃.njʊ 
con·tem·po·râ·ne·o ,kõ.tẽ.po.ɾˈɐ̃.njʊ 
con·tem·po·ri·za·ção ,kõ.tẽ.po.ɾi.za.sˈɐ̃w 
con·tem·po·ri·za·dor ,kõ.tẽ.po.ɾi.za.dˈoɾ 
con·tem·po·ri·za·dor ,kõ.tẽ.po.ɾi.za.dˈoɾ 
con·tem·po·ri·za·do·ra ,kõ.tẽ.po.ɾi.za.dˈo.ɾɐ 
con·tem·po·ri·zar ,kõ.tẽ.po.ɾi.zˈaɾ
con·ten·ção ,kõ.tẽ.sˈɐ̃w 
con·ten·ci·o·sa·men·te  ,kõ.tẽ.sjɔ.zã.mˈẽ.tʃɪ 
con·ten·ci·o·so ,kõ.tẽ.sjˈo.zʊ 
con·ten·ci·o·so ,kõ.tẽ.sjˈo.zʊ 
con·ten·da ,kõ.tˈẽ.dɐ 
con·ten·der ,kõ.tẽ.dˈeɾ 
con·ten·dor ,kõ.tẽ.dˈoɾ 
con·ten·dor ,kõ.tẽ.dˈoɾ 
con·ten·são ,kõ.tẽ.sˈɐ̃w 
con·ten·ta·men·to ,kõ.tẽ.tã.mˈẽ.tʊ 
con·ten·tar ,kõ.tẽ.tˈaɾ 
con·ten·te ,kõ.tˈẽ.tʃɪ 
con·ten·to ,kõ.tˈẽ.tʊ 
con·ten·tor ,kõ.tẽ.tˈoɾ 
con·ten·to·ri·za·ção ,kõ.tẽ.to.ɾi.za.sˈɐ̃w 
con·ten·to·ri·zar ,kõ.tẽ.to.ɾi.zˈaɾ 
con·ter ,kõ.tˈeɾ 
con·ter·râ·ne·a ,kõ.te.ɦˈɐ̃.njɐ 
con·ter·râ·ne·o ,kõ.te.ɦˈɐ̃.njʊ 
con·ter·râ·ne·o ,kõ.te.ɦˈɐ̃.njʊ
con·tes·ta·ção ,kõ.teʃ.ta.sˈɐ̃w 
con·tes·ta·do ,kõ.teʃ.tˈa.dʊ 
con·tes·ta·dor ,kõ.teʃ.ta.dˈoɾ 
con·tes·ta·dor ,kõ.teʃ.ta.dˈoɾ 
con·tes·tan·te ,kõ.teʃ.tˈɐ̃.tʃɪ 
con·tes·tan·te ,kõ.teʃ.tˈɐ̃.tʃɪ 
con·tes·tan·te ,kõ.teʃ.tˈɐ̃.tʃɪ 
con·tes·tar ,kõ.teʃ.tˈaɾ 
con·tes·ta·tá·ri·a ,kõ.teʃ.ta.tˈa.ɾjɐ 
con·tes·ta·tá·ri·o ,kõ.teʃ.ta.tˈa.ɾjʊ 
con·tes·ta·tá·ri·o ,kõ.teʃ.ta.tˈa.ɾjʊ 
con·tes·tá·vel ,kõ.teʃ.tˈa.vew 
con·tes·te ,kõ.tˈɛʃ.tʃɪ 
con·te·ú·do ,kõ.te.ˈu.dʊ 
con·te·ú·do ,kõ.te.ˈu.dʊ 
con·tex·to ,kõ.tˈeʃ.tʊ 
con·tex·tu·al ,kõ.teʃ.tu.ˈaw 
con·tex·tu·a·li·za·ção ,kõ.teʃ.tu.a.li.za.sˈɐ̃w 
con·tex·tu·a·li·zar ,kõ.teʃ.tu.a.li.zˈaɾ 
con·tex·tu·ar ,kõ.teʃ.tu.ˈaɾ
con·tex·tu·ra ,kõ.teʃ.tˈu.ɾɐ 
con·ti·do ,kõ.tʃˈi.dʊ 
con·ti·go ,kõ.tʃˈi.gʊ 
con·ti·gua·men·te ,kõ.tʃi.gwã.mˈẽ.tʃɪ 
con·ti·guar ,kõ.tʃi.gwˈaɾ 
con·ti·gui·da·de ,kõ.tʃi.gwi.dˈa.dʒɪ 
con·tí·guo ,kõ.tʃˈi.gwʊ 
con·ti·nên·ci·a ,kõ.tʃĩ.nˈẽ.sjɐ 
con·ti·nen·tal ,kõ.tʃĩ.nẽ.tˈaw 
con·ti·nen·tal ,kõ.tʃĩ.nẽ.tˈaw 
con·ti·nen·tal ,kõ.tʃĩ.nẽ.tˈaw 
con·ti·nen·ta·li·da·de ,kõ.tʃĩ.nẽ.ta.li.dˈa.dʒɪ 
con·ti·nen·te ,kõ.tʃĩ.nˈẽ.tʃɪ 
con·ti·nen·te ,kõ.tʃĩ.nˈẽ.tʃɪ 
con·tin·gên·ci·a ,kõ.tʃĩ.ʒˈẽ.sjɐ 
con·tin·gen·ta·ção ,kõ.tʃĩ.ʒẽ.ta.sˈɐ̃w 
con·tin·gen·tar ,kõ.tʃĩ.ʒẽ.tˈaɾ 
con·tin·gen·te ,kõ.tʃĩ.ʒˈẽ.tʃɪ 
con·tin·gen·te ,kõ.tʃĩ.ʒˈẽ.tʃɪ 
con·tin·gen·te·men·te ,kõ.tʃĩ.ʒẽ.tẽ.mˈẽ.tʃɪ
con·tí·nu·a ,kõ.tʃˈĩ.nu.ɐ 
con·ti·nu·a·ção ,kõ.tʃĩ.nu.a.sˈɐ̃w 
con·ti·nu·a·da·men·te ,kõ.tʃĩ.nu.a.dã.mˈẽ.tʃɪ 
con·ti·nu·a·do ,kõ.tʃĩ.nu.ˈa.dʊ 
con·ti·nu·a·do ,kõ.tʃĩ.nu.ˈa.dʊ 
con·ti·nu·a·dor ,kõ.tʃĩ.nu.a.dˈoɾ 
con·ti·nu·a·dor ,kõ.tʃĩ.nu.a.dˈoɾ 
con·ti·nu·a·do·ra ,kõ.tʃĩ.nu.a.dˈo.ɾɐ 
con·ti·nu·a·men·te ,kõ.tʃĩ.nu.ã.mˈẽ.tʃɪ 
con·ti·nu·ar ,kõ.tʃĩ.nu.ˈaɾ 
con·ti·nu·i·da·de ,kõ.tʃĩ.nwi.dˈa.dʒɪ 
con·tí·nu·o ,kõ.tʃˈĩ.nwʊ 
con·tí·nu·o ,kõ.tʃˈĩ.nwʊ 
con·ti·nu·um ,kõ.tʃĩ.nu.ˈũ 
con·tis·ta ,kõ.tʃˈiʃ.tɐ 
con·tis·ta ,kõ.tʃˈiʃ.tɐ 
con·tis·ta ,kõ.tʃˈiʃ.tɐ 
con·ti·tu·la·ri·da·de ,kõ.tʃi.tu.la.ɾi.dˈa.dʒɪ 
con·to ,kˈõ.tʊ 
con·tor·ção ,kõ.toh.sˈɐ̃w
con·tor·cer ,kõ.toh.sˈeɾ 
con·tor·ci·do ,kõ.toh.sˈi.dʊ 
con·tor·ci·o·nis·mo ,kõ.toh.sjõ.nˈiʒ.mʊ 
con·tor·ci·o·nis·ta ,kõ.toh.sjõ.nˈiʃ.tɐ 
con·tor·ci·o·nis·ta ,kõ.toh.sjõ.nˈiʃ.tɐ 
con·tor·nar ,kõ.toɦ.nˈaɾ 
con·tor·ná·vel ,kõ.toɦ.nˈa.vew 
con·tor·no ,kõ.tˈoɦ.nʊ 
con·tra ,kˈõ.tɾɐ 
con·tra ,kˈõ.tɾɐ 
con·tra ,kˈõ.tɾɐ 
con·tra-a·ber·tu·ra ,kõ.tɾa.a.beh.tˈu.ɾɐ 
con·tra-a·cu·sa·ção ,kõ.tɾɐ.a.ku.za.sˈɐ̃w 
con·tra-a·li·sa·do ,kõ.tɾa.a.li.zˈa.dʊ 
con·tra-a·lí·si·o ,kõ.tɾa.a.lˈi.zju 
con·tra-al·mei·da  ,kõ.tɾa.aw.mˈej.dɐ 
con·tra-al·mi·ran·te ,kˌõ.tɾɐ.aw.mi.ɾˈɐ̃.tʃɪ 
con·tra-a·mu·ra  ,kõ.tɾa.ã.mˈu.ɾɐ 
con·tra-a·ná·li·se ,kõ.tɾɐ.ã.nˈa.li.zɪ 
con·tra-ar·ca·da  ,kõ.tɾa.ah.kˈa.dɐ
con·tra-ar·co  ,kõ.tɾa.ˈah.kʊ 
con·tra-ar·gu·men·tar ,kˌõ.tɾɐ.aɦ.gũ.mẽ.tˈaɾ 
con·tra-ar·gu·men·to ,kˌõ.tɾɐ.aɦ.gũ.mˈẽ.tʊ 
con·tra-ar·res·tar ,kõ.tɾa.a.ɦeʃ.tˈaɾ 
con·tra-ar·res·to ,kõ.tɾa.a.ɦˈɛʃ.tʊ 
con·tra-a·sa ,kõ.tɾa.ˈa.zɐ 
con·tra-as·sal·to ,kõ.tɾa.a.sˈaw.tʊ 
con·tra-as·sem·blei·a  ,kõ.tɾa.a.sẽ.blˈɛj.ɐ 
con·tra-a·ta·can·te ,kõ.tɾɐ.a.ta.kˈɐ̃.tʃɪ 
con·tra-a·ta·car ,kˌõ.tɾɐ.a.ta.kˈaɾ 
con·tra-a·ta·que ,kˌõ.tɾɐ.a.tˈa.kɪ 
con·tra-a·vi·so ,kõ.tɾa.a.vˈi.zʊ 
con·tra-ha·bi·tu·al ,kõ.tɾa.a.bi.tu.ˈaw 
con·tra-har·mó·ni·co ,kõ.tɾa.aɦ.mˈɔ̃.ni.kʊ 
con·tra-has·te ,kõ.tɾa.ˈaʃ.tʃɪ 
con·tra-ho·mó·ni·mo  ,kõ.tɾa.õ.mˈɔ̃.nĩ.mʊ 
con·tra·bai·xis·ta ,kõ.tɾa.baj.ʃˈiʃ.tɐ 
con·tra·bai·xis·ta ,kõ.tɾa.baj.ʃˈiʃ.tɐ 
con·tra·bai·xo ,kõ.tɾa.bˈaj.ʃʊ
con·tra·bai·xo ,kõ.tɾa.bˈaj.ʃʊ 
con·tra·ba·lan·çar ,kõ.tɾa.ba.lɐ̃.sˈaɾ 
con·tra·ba·lan·ço ,kõ.tɾa.ba.lˈɐ̃.sʊ 
con·tra·ba·lu·ar·te ,kõ.tɾa.ba.lu.ˈah.tʃɪ 
con·tra·ban·da ,kõ.tɾa.bˈɐ̃.dɐ 
con·tra·ban·dar ,kõ.tɾa.bɐ̃.dˈaɾ 
con·tra·ban·de·ar ,kõ.tɾa.bɐ̃.dʒi.ˈaɾ 
con·tra·ban·dis·ta ,kõ.tɾa.bɐ̃.dʒˈiʃ.tɐ 
con·tra·ban·dis·ta ,kõ.tɾa.bɐ̃.dʒˈiʃ.tɐ 
con·tra·ban·do ,kõ.tɾa.bˈɐ̃.dʊ 
con·tra·bar·rei·ra  ,kõ.tɾa.ba.ɦˈej.ɾɐ 
con·tra·ba·ter ,kõ.tɾa.ba.tˈeɾ 
con·tra·ba·te·ri·a ,kõ.tɾa.ba.te.ɾˈi.ɐ 
con·tra·bi·co  ,kõ.tɾa.bˈi.kʊ 
con·tra·bo·ça  ,kõ.tɾa.bˈo.sɐ 
con·tra·bor·do ,kõ.tɾa.bˈɔɦ.du$$bˈoɦ.dʊ 
con·tra·bra·ço  ,kõ.tɾa.bɾˈa.sʊ 
con·tra·ca·das·te ,kõ.tɾa.ka.dˈaʃ.tʃɪ 
con·tra·cai·xi·lho ,kõ.tɾa.kaj.ʃˈi.ʎʊ 
con·tra·cal·dei·ra  ,kõ.tɾa.kaw.dˈej.ɾɐ
con·tra·cam·bi·ar ,kõ.tɾa.kɐ̃.bi.ˈaɾ 
con·tra·câm·bi·o ,kõ.tɾa.kˈɐ̃.bjʊ 
con·tra·cam·pa·nha ,kõ.tɾa.kɐ̃.pˈɐ̃.ɲɐ 
con·tra·can·to ,kõ.tɾa.kˈɐ̃.tʊ 
con·tra·ca·pa ,kõ.tɾa.kˈa.pɐ 
con·tra·car·ril ,kõ.tɾa.ka.ɦˈiw 
con·tra·ca·va ,kõ.tɾa.kˈa.vɐ 
con·tra·cé·du·la ,kõ.tɾa.sˈɛ.du.lɐ 
con·tra·ce·na ,kõ.tɾa.sˈẽ.nɐ 
con·tra·ce·nar ,kõ.tɾa.sẽ.nˈaɾ 
con·tra·cep·ção ,kõ.tɾa.se.pə.sˈɐ̃w 
con·tra·ce·ti·vo ,kõ.tɾa.se.tʃˈi.vʊ 
con·tra·ce·ti·vo ,kõ.tɾa.se.tʃˈi.vʊ 
con·tra·cha·pa  ,kõ.tɾa.ʃˈa.pɐ 
con·tra·cha·ve·ta ,kõ.tɾa.ʃa.vˈe.tɐ 
con·tra·che·fe ,kõ.tɾa.ʃˈɛ.fɪ 
con·tra·che·fe  ,kõ.tɾa.ʃˈɛ.fɪ 
con·tra·cho·que  ,kõ.tɾa.ʃˈɔ.kɪ 
con·tra·ci·fra ,kõ.tɾa.sˈi.fɾɐ
con·tra·cor·ren·te ,kõ.tɾa.ko.ɦˈẽ.tʃɪ 
con·tra·cos·ta ,kõ.tɾa.kˈɔʃ.tɐ 
con·tra·cou·cei·ro  ,kõ.tɾa.ko.sˈej.ɾʊ 
con·tra·crí·ti·ca ,kõ.tɾa.kɾˈi.tʃi.kɐ 
con·trác·til ,kõ.tɾˈa.tʃiw 
con·trac·to ,kõ.tɾˈa.tʊ 
con·trac·tu·ra ,kõ.tɾa.tˈu.ɾɐ 
con·tra·cul·tu·ra ,kõ.tɾa.kʊw.tˈu.ɾɐ 
con·tra·cu·nhar ,kõ.tɾa.kũ.ɲˈaɾ 
con·tra·cu·nho ,kõ.tɾa.kˈũ.ɲʊ 
con·tra·cur·va ,kõ.tɾa.kˈuɦ.vɐ 
con·tra·dan·ça ,kõ.tɾa.dˈɐ̃.sɐ 
con·tra·dan·çar ,kõ.tɾa.dɐ̃.sˈaɾ 
con·tra·de·cla·ra·ção ,kõ.tɾa.de.kla.ɾa.sˈɐ̃w 
con·tra·de·cla·rar ,kõ.tɾa.de.kla.ɾˈaɾ 
con·tra·des·car·ga  ,kõ.tɾa.deʃ.kˈaɦ.gɐ 
con·tra·di·ção ,kõ.tɾa.dʒi.sˈɐ̃w 
con·tra·di·que ,kõ.tɾa.dʒˈi.kɪ 
con·tra·dis·tin·guir ,kõ.tɾa.dʒiʃ.tʃĩ.gˈiɾ 
con·tra·di·ta ,kõ.tɾa.dʒˈi.tɐ
con·tra·di·ta·do ,kõ.tɾa.dʒi.tˈa.dʊ 
con·tra·di·tar ,kõ.tɾa.dʒi.tˈaɾ 
con·tra·di·to ,kõ.tɾa.dʒˈi.tʊ 
con·tra·di·tor ,kõ.tɾa.dʒi.tˈoɾ 
con·tra·di·tor ,kõ.tɾa.dʒi.tˈoɾ 
con·tra·di·tó·ri·a ,kõ.tɾa.dʒi.tˈɔ.ɾjɐ 
con·tra·di·to·ri·a·men·te ,kõ.tɾa.dʒi.tɔ.ɾi.ã.mˈẽ.tʃɪ 
con·tra·di·tó·ri·o ,kõ.tɾa.dʒi.tˈɔ.ɾjʊ 
con·tra·di·zer ,kõ.tɾa.dʒi.zˈeɾ 
con·tra·do·cu·men·to ,kõ.tɾa.do.kũ.mˈẽ.tʊ 
